"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"748171640496742400","https://twitter.com/nandaka_furari/status/748171640496742400","@kagami8125 高田誠さんは冷たーいヘイト視線を浴びるだけになるでしょうね。 参照：https://t.co/NudC7uiILK","2016-06-29 15:09 +0000","42.0","4.0","0.09523809523809523","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748161040085454848","https://twitter.com/nandaka_furari/status/748161040085454848","肉まんに酢醤油は全国的なやつじゃないのか。 https://t.co/ROUet6bvzi","2016-06-29 14:27 +0000","87.0","1.0","0.011494252873563218","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748104811682226176","https://twitter.com/nandaka_furari/status/748104811682226176","面倒くさい…。 https://t.co/wilpCHYVjL","2016-06-29 10:44 +0000","51.0","1.0","0.0196078431372549","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748104021261443072","https://twitter.com/nandaka_furari/status/748104021261443072","本格的な動きになっているのかな。まさかこんな事になるとは。 https://t.co/bnoa2hEZlf","2016-06-29 10:41 +0000","59.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748103216479371264","https://twitter.com/nandaka_furari/status/748103216479371264","@nobuo_kimura 慣れればどうということないかもしれませんが、まあ、第一印象ですので。","2016-06-29 10:38 +0000","46.0","1.0","0.021739130434782608","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748099167944212481","https://twitter.com/nandaka_furari/status/748099167944212481","@nobuo_kimura 「薄幸そうだけど自業自得ぽっいから特に可哀想だとは思わない」ですね。

…。","2016-06-29 10:21 +0000","49.0","1.0","0.02040816326530612","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"748093776837545985","https://twitter.com/nandaka_furari/status/748093776837545985","日本じゃなくてジャップ国と書いておけばちゃんと毒舌になる気がする。 https://t.co/pUlyc7f1FF","2016-06-29 10:00 +0000","63.0","7.0","0.1111111111111111","0.0","1.0","0.0","2.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747957497302908929","https://twitter.com/nandaka_furari/status/747957497302908929","素直に払ったのか。しかし、これを認めるとなるとどれだけ払うことになるのか。","2016-06-29 00:58 +0000","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747793600851804160","https://twitter.com/nandaka_furari/status/747793600851804160","PHPでPHPでどうなんだろ。JavaScriptのほうが。","2016-06-28 14:07 +0000","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747790590343970816","https://twitter.com/nandaka_furari/status/747790590343970816","@taka_x_taka 海外の品物を輸入してるような人は助かってたんじゃないでしょうか。","2016-06-28 13:55 +0000","86.0","3.0","0.03488372093023256","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747788463181701120","https://twitter.com/nandaka_furari/status/747788463181701120","ねーよ…… https://t.co/jO71hSn5dY","2016-06-28 13:47 +0000","63.0","2.0","0.031746031746031744","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747775869859430400","https://twitter.com/nandaka_furari/status/747775869859430400","それってのはブロックのことなんだけど、段落の構成ミスったな。","2016-06-28 12:57 +0000","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747769757672177664","https://twitter.com/nandaka_furari/status/747769757672177664","ブロックしても見ようと思えば、ログインしない状態ならいくらでも見れる。ウヨ系のアカウントがよくそれで勝ち誇ったように報告してる。 https://t.co/26FYludm1p","2016-06-28 12:32 +0000","56.0","3.0","0.05357142857142857","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747768241083162624","https://twitter.com/nandaka_furari/status/747768241083162624","○○は××の影響というの、それがどこまで正確というのは統計資料がないとどうにもならないかもしれないけど、戦争に抵抗無くさせるとものとしてヤンジャンのキングダムは影響ありそうな気がする。輸送補給の概念がなく気合いで解決の世界観が流行ってるのどうなのかなと。","2016-06-28 12:26 +0000","46.0","1.0","0.021739130434782608","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747724390264078336","https://twitter.com/nandaka_furari/status/747724390264078336",".@yamadamn さんの「#JavaDayTokyo 2016 まとめ」をお気に入りにしました。 https://t.co/adx72n6qA6","2016-06-28 09:32 +0000","254.0","1.0","0.003937007874015748","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747373384623783936","https://twitter.com/nandaka_furari/status/747373384623783936","WildFly Swarmというものがあるのか。","2016-06-27 10:17 +0000","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747372193005199361","https://twitter.com/nandaka_furari/status/747372193005199361","あーこれ、俺もそうだ。ちゃんと記事読むの40パーくらいで半分もない。to:記事
（ちゃんと記事読んだ上で。俺もそういう時あるし、実際そういう人もいるだろう。それも含めての数字から読む読まない人を二分しているように思う。） https://t.co/bV8D2qiwKM","2016-06-27 10:13 +0000","43.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"747228425564225537","https://twitter.com/nandaka_furari/status/747228425564225537","これ一見すると説得力ありそうだけど、中国人には「東京に最高裁、韓国に国会」と言ってて、韓国人には「北京に最高裁、日本に国会」て言ってるんじゃ、という予感がするんだよな。
https://t.co/XSFm2imSQn","2016-06-27 00:41 +0000","48.0","2.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
