"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォロー中","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォロー中","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"814455484992266240","https://twitter.com/nandaka_furari/status/814455484992266240","@nandaka_furari 始めたときはfacebookは書くネタに困ってたけど、今はNewsPicksがあるしそんなには不自由しない。ていうかせっかく金払ってるんだし活用しなきゃなー。","2016-12-29 12:58 +0000","148.0","12.0","0.08108108108108109","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814454646831910912","https://twitter.com/nandaka_furari/status/814454646831910912","@nandaka_furari 振り返ってみれば良し悪しはあったんだろうけど、来年もこのままで行けるか？となるとなんかもう無理かなーと。「つらい」みたいなツイートしていいねもらってる光景とか見るのももううんざりかなーとか。俺にはほぼなんもないのに。（自業自得なとこはあるけど）","2016-12-29 12:54 +0000","140.0","2.0","0.014285714285714285","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814453805760659456","https://twitter.com/nandaka_furari/status/814453805760659456","@nandaka_furari 始めたときはまだ色々と余裕はあった方だけど、もう5年やってて当時あった余裕なんてもうずいぶん消え去ってしまったから、さすがに危機感がある。そのかわりいろいろ活動してたおかげで、やる気になればリアルを充実させる力は身に着けたとは思うけど。","2016-12-29 12:51 +0000","129.0","1.0","0.007751937984496124","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814452857134981120","https://twitter.com/nandaka_furari/status/814452857134981120","@nandaka_furari 最初の選択ちょっと間違えちゃったかなーというはあるね。当時はツイッターは検索とか情報収集に使えてたけど。けどノイズも多いし時間とお金に余裕のある人が使うSNSだったんだろうね。","2016-12-29 12:47 +0000","125.0","1.0","0.008","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814451451548209152","https://twitter.com/nandaka_furari/status/814451451548209152","@nandaka_furari ていうかさー、俺気づいちゃったんだよね。ツイッターはリア充向けSNSで非リア充がリア充を目指すのには向いてないって。結婚してるとか彼氏彼女持ちとかリアルにいなくても二次元にはいるとか。俺には何次元のものでも何もないよ？","2016-12-29 12:42 +0000","132.0","1.0","0.007575757575757576","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814441993648472064","https://twitter.com/nandaka_furari/status/814441993648472064","@nandaka_furari twitterは検索がアレになってしまった以上そう未練があるわけでもないし。","2016-12-29 12:04 +0000","147.0","1.0","0.006802721088435374","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814441795153055745","https://twitter.com/nandaka_furari/status/814441795153055745","来年は本気で収入増を狙わないと、そうそうチャンスがあるわけでも猶予があるわけでもないし、ツイッターしてる暇ないんだよな。やはり時代はfacebook。リア充を目指すならfacebook。前途多難なTwitter社と心中するのはごめんこうむりたい。","2016-12-29 12:03 +0000","422.0","4.0","0.009478672985781991","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814432239442198528","https://twitter.com/nandaka_furari/status/814432239442198528","注　はちま
【鉄P】ねとらぼがはちま起稿を親の仇のように叩き続けるたったひとつの理由
https://t.co/FMnI5oY2qC
ふむふむ。LINE社から出た事が特に叩かれる原因の一つかと思っているのだがそういうことは書いてないな。","2016-12-29 11:25 +0000","428.0","4.0","0.009345794392523364","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814406684311363584","https://twitter.com/nandaka_furari/status/814406684311363584","@5b0a29db23dd47f @ishiitakaaki 韓国の方も近寄ってもらっても困るでしょ。","2016-12-29 09:44 +0000","98.0","2.0","0.02040816326530612","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"814404278848614400","https://twitter.com/nandaka_furari/status/814404278848614400","崔順実が外交にどう関わっていたかでガラッと情勢が変わってくるだろうな。朴政権は初めの方は「反日」的な態度だったけど、それが崔順実の影響だったとしたらこの世論も変わる。なんとなくそれはあったと思っているけど。
https://t.co/Ov3sea9ILc","2016-12-29 09:34 +0000","344.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
